Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Etika bisnis bagi pelaku bisnis;28556;3;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42080;4;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42082;3;Sering dipinjam
Etika bisnis dan profesi;47081;5;Sering dipinjam
Ekonomika Makro Edisi Revis;u0000141;7;Sering dipinjam
pengantar ilmu ekonomi makro;40180;7;Sering dipinjam
Etika Bisnis;1903,1;6;Sering dipinjam
Etika bisnis dan profesi;48687;6;Sering dipinjam
ILMU MAKRO EKONOMI;35305;3;Sering dipinjam
Ekonomika Makro Edisi Revis;u0000143;5;Sering dipinjam
Etika Bisnis;1903,2;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33975;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42081;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42079;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28557;5;Sering dipinjam
Etika bisnis dan profesi;31920;3;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;278mhs3.2;8;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316pb3.4;6;Sering dipinjam
Etika bisnis dan profesi;31922;4;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;1756,3;7;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO;1406.3.2;7;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;33518;4;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;21802;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41842;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41840;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41841;5;Sering dipinjam
Akuntansi manajerial suatu orientasi praktis;33892;2;Jarang dipinjam
Akuntansi manajerial suatu orientasi praktis;42050;3;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41843;4;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33869;4;Sering dipinjam
Ekonomi makro;49194;2;Jarang dipinjam
Believe and acheve!;21063;1;Jarang dipinjam
Auditing jilid 1;24273;4;Sering dipinjam
Auditing dan Pelayanan Verifikasi Pendekatan Terpadu Ed 9;43835;2;Jarang dipinjam
Auditing : pendekatan sektor publik dan privat;40689;2;Jarang dipinjam
Auditing buku 2;321pb3.4;2;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;49711;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40265;10;Sering dipinjam
Auditing buku 1;55003;1;Jarang dipinjam
Akuntansi Manajerial Accounting Managerial;39911;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40275;7;Sering dipinjam
Akuntansi manajemen jilid 2;2243,1;5;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18978;5;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;42017;4;Sering dipinjam
AKUNTANSI PAJAK ED.2;24172;4;Sering dipinjam
Akuntansi manajemen jilid 2;2243,2;5;Sering dipinjam
Akuntansi manajemen jilid 2;2243,4;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50060;9;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33870;6;Sering dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Akuntansi sektor publik;42244;5;Sering dipinjam
Pulang pergi;49777;4;Sering dipinjam
Santri pilihan bunda;50813;4;Sering dipinjam
Hukum administrasi negara;H004;9;Sering dipinjam
Pengantar sosiologi;42695;2;Jarang dipinjam
Auditing jilid 1;322PB3.1;6;Sering dipinjam
Akuntansi perpajakan ed.2;32063;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000013;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000011;5;Sering dipinjam
Auditing jilid 1;35315;4;Sering dipinjam
Auditing buku 1;17338;2;Jarang dipinjam
Auditing jilid 1;21576;5;Sering dipinjam
Quo vadis politik luar negeri Indonesia;32612;1;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27220;7;Sering dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;2665,2;5;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18979;6;Sering dipinjam
Akuntansi manajemen teori dan aplikasi;49710;5;Sering dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27221;7;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50058;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;31940;4;Sering dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
Hukum administrasi negara;H004.1;7;Sering dipinjam
Hukum administrasi;17262;3;Sering dipinjam
Geometri analitik;47484;4;Sering dipinjam
Mathematics undercover;49002;2;Jarang dipinjam
Rumus-rumus cepat matematika sma;48943;2;Jarang dipinjam
Akuntansi perpajakan;1624,6;8;Sering dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Hukum administrasi;44440;3;Sering dipinjam
Metode Penelitian Bisnis;50329;3;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;39911;6;Sering dipinjam
Akuntansi manajemen jil.1;2239,4;3;Sering dipinjam
Akuntansi perpajakan;1236.3.2;4;Sering dipinjam
AKUNTANSI MANAJEMEN EDISI 4 JILID 2;270,11;5;Sering dipinjam
Akuntansi perpajakan ed.2;32062;7;Sering dipinjam
Auditing buku 1;40245;1;Jarang dipinjam
Akuntansi manajemen jil.1;2239,5;3;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;21803;5;Sering dipinjam
Kebijakan publik aktor, model dan proses;49844;1;Jarang dipinjam
Dasar-dasar kebijakan publik;30493;1;Jarang dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
HUMAN RESOURCE MANAGEMENT;34217;1;Jarang dipinjam
Metode penelitian kuantitatif kualitatif dan R&D Best seller;45313;5;Sering dipinjam
Manajemen sumber daya manusia;37867;1;Jarang dipinjam
Akuntansi sektor publik;32100;2;Jarang dipinjam
Seni berkata tidak;50785;4;Sering dipinjam
THE FIRST STUDENT CHOICE TOEFL;50357;1;Jarang dipinjam
The 1st students choice TOEFL;23384;1;Jarang dipinjam
Complete english grammar: tata bahasa inggris lengkap;31441;1;Jarang dipinjam
Cara mudah budidaya rumput laut;9,78603E+12;1;Jarang dipinjam
Makroekonomi;1,1;7;Sering dipinjam
Monitoring terumbu karang bintan;28092;1;Jarang dipinjam
akuntasi sektor publik;21674;2;Jarang dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2244,4;1;Jarang dipinjam
Akuntansi sektor publik;378apbn3.4;5;Sering dipinjam
Si anak spesial;50735;4;Sering dipinjam
5 Practices of Execution Winner : Langkah Sukses Menerjemahkan Mimpi Pribadi dan Bisnis Anda Menjadi Realitas;44007;1;Jarang dipinjam
Akuntansi manajemen jil.1;2239,2;4;Sering dipinjam
Akuntansi manajerial ed.14 bku 1;42017;4;Sering dipinjam
Akuntansi manajemen jilid 2;2243,4;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40275;7;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28378;6;Sering dipinjam
Akuntansi usaha kecil menengah (UKM);25365;3;Sering dipinjam
akuntasi perusahaan kecil dan menengah;33555;1;Jarang dipinjam
AKUNTANSI DASAR TEORI DAN PRAKTIK;41283;1;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;48279;3;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18979;6;Sering dipinjam
Analisis laporan keuangan : Integrated and comprehensive edition;40035;2;Jarang dipinjam
Akuntansi manajemen;1725,1;5;Sering dipinjam
Akuntansi manajemen;49338;2;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;764hb3.1;3;Sering dipinjam
Teori & praktik menulis karya tulis ilmiah;49839;2;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
MENULIS ARTIKEL&KARYA ILMIAH;31302;1;Jarang dipinjam
Menguasai Statistik parametrik : konsep dan aplikasi dengan SPSS;33448;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32379;5;Sering dipinjam
Laut bercerita;49872;6;Sering dipinjam
Metodologi penelitian;49915;2;Jarang dipinjam
METODE PENELITIAN KUALITATIF;26405;1;Jarang dipinjam
Pengantar ilmu antropologi;12.16.2;2;Jarang dipinjam
Pengantar sosiologi;210pb3.2;2;Jarang dipinjam
Hukum administrasi negara;155SM3;5;Sering dipinjam
Hukum administrasi negara;h004;9;Sering dipinjam
Penyelesaian Kasus Pertanahan;44599;1;Jarang dipinjam
Buku Pintar Pemrograman MATLAB;b040001;1;Jarang dipinjam
PENGANTAR OSEANOGRAFI;453,11;1;Jarang dipinjam
Akuntansi perpajakan ed.2;32063;6;Sering dipinjam
Akuntansi perpajakan ed.2;32062;7;Sering dipinjam
Akuntansi perpajakan;1236.3.2;4;Sering dipinjam
Hukum administrasi negara;H004.1;7;Sering dipinjam
Hukum administrasi negara;155sm3;5;Sering dipinjam
Demokrasi dan pemilu di indonesia;42757;1;Jarang dipinjam
Mengenal teori-teori politik dari sistem politik sampai korupsi;43128;1;Jarang dipinjam
HUKUM ACARA PERDATA EDISI KELIMA;166PB3.3;3;Sering dipinjam
Apresiasi puisi;A003001;2;Jarang dipinjam
Metodologi penelitian hukum;15.13.1;1;Jarang dipinjam
Metode penelitian hukum normatif dan empiris;50832;1;Jarang dipinjam
Penelitian Hukum Ed. Revisi;15.466.1;1;Jarang dipinjam
Metode penelitian Hukum;25126;1;Jarang dipinjam
Hukum Pendaftaran Tanah;48801;2;Jarang dipinjam
Media pembelajaran;23132;4;Sering dipinjam
MEDIA PEMBELAJARAN;19987;3;Sering dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
Etika bisnis dan profesi;41889;4;Sering dipinjam
Etika bisnis dan profesi;41890;4;Sering dipinjam
Pengantar Bisnis;42163;3;Sering dipinjam
Pengantar Bisnis;42165;2;Jarang dipinjam
Etika Bisnis;35546;5;Sering dipinjam
Pengantar Bisnis;42166;1;Jarang dipinjam
Pengantar Bisnis;U0040011;3;Sering dipinjam
Today's business ethics;28319;2;Jarang dipinjam
Laut bercerita;49872;6;Sering dipinjam
Pengantar Bisnis;U0040012;3;Sering dipinjam
Pengantar Bisnis;42167;2;Jarang dipinjam
The Essence Of Business Ethics (Etika Bisnis);43776;3;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42079;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28557;5;Sering dipinjam
Etika bisnis dan profesi;31922;4;Sering dipinjam
Pengantar Bisnis;U0040000;2;Jarang dipinjam
Etika bisnis bagi pelaku bisnis;42081;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33972;4;Sering dipinjam
EKONOMI MAKRO;21384;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410005;4;Sering dipinjam
Etika Bisnis;1903,1;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );151,4;5;Sering dipinjam
Etika bisnis dan profesi;48688;3;Sering dipinjam
Etika Bisnis;1903,2;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410001;5;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29386;7;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410009;6;Sering dipinjam
Etika bisnis dan profesi;48687;6;Sering dipinjam
Etika bisnis dan profesi;31920;3;Sering dipinjam
Etika bisnis dan profesi;41892;2;Jarang dipinjam
Etika publik untuk integritas pejabat publik dan politisi;35610;1;Jarang dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.3;4;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.4;6;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.1;6;Sering dipinjam
EKONOMI MAKRO;28330;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;599;3;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;1756,3;7;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50060;9;Sering dipinjam
Ekonomika Makro Edisi Revis;u0000143;5;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178SM3;8;Sering dipinjam
Pengantar ekonomi makro tinjauan ekonomi syariah;40392;7;Sering dipinjam
Pengantar Teori Ekonomi;33418;4;Sering dipinjam
Makro ekonomi Indonesia;40411;4;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;50059;6;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;21803;5;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33869;4;Sering dipinjam
Hukum Perbankan Nasional Indonesia;15.432.1;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;35507;3;Sering dipinjam
Akuntansi manajemen biaya sebuah pengantar;49045;3;Sering dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;764hb3.1;3;Sering dipinjam
Akuntansi Manajemen untuk perencanaan, pengendalian dan pengembilan keputusan;50281;3;Sering dipinjam
Akuntansi manajemen;1725,1;5;Sering dipinjam
AKUNTANSI BIAYA EDISI 3;508,11;2;Jarang dipinjam
Pengantar Teori Ekonomi;33419;3;Sering dipinjam
Pengantar Teori Ekonomi;33420;5;Sering dipinjam
Pengantar Teori Ekonomi;172,01;3;Sering dipinjam
Akuntansi manajemen biaya sebuah pengantar;49044;5;Sering dipinjam
Akuntansi manajemen;49339;3;Sering dipinjam
pengantar ilmu ekonomi makro;40177;9;Sering dipinjam
pengantar ilmu ekonomi makro;249;6;Sering dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
Makro ekonomi : aplikasi untuk indonesia;47593;8;Sering dipinjam
pengantar ilmu ekonomi makro;40178;6;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );p01410002;5;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO EDISI 5;33518;4;Sering dipinjam
pengantar ilmu ekonomi makro;40180;7;Sering dipinjam
Pengantar Plmu Ekonomi Mikro Teori dan Soal;50529;1;Jarang dipinjam
THE GENESIS OF MACROECONOMICS;640;3;Sering dipinjam
Makro ekonomi Indonesia;33776;4;Sering dipinjam
EKONOMI MIKRO ISLAMI;245pb3.1;1;Jarang dipinjam
Akuntansi sektor publik organisasi non laba EDISI 2;32874;1;Jarang dipinjam
PENDIDIKAN KEWARGANEGARAAN;15.402.2;2;Jarang dipinjam
HUKUM BISNIS;28164;3;Sering dipinjam
Paradigma Baru Pendidikan Kewarganegaraan;15.604.1;2;Jarang dipinjam
Politik Global;25530;1;Jarang dipinjam
Culture studi kebudayaan;29960;1;Jarang dipinjam
Media pembelajaran;33565;3;Sering dipinjam
Sepotong hati yang baru;49811;5;Sering dipinjam
Pengantar sosiologi;26803;1;Jarang dipinjam
Akuntansi usaha kecil menengah (UKM);25363;2;Jarang dipinjam
Akuntansi usaha kecil menengah (UKM);25364;2;Jarang dipinjam
akuntansi koperasi;40612;1;Jarang dipinjam
Akuntansi usaha kecil menengah (UKM);25365;3;Sering dipinjam
SEMANTIK LEKSIKAL;19777;1;Jarang dipinjam
Pengajaran semantik;20310;1;Jarang dipinjam
Linguistik umum;1653,1;1;Jarang dipinjam
SEMANTIK 1;31229;1;Jarang dipinjam
SEMANTIK 2;19554;3;Sering dipinjam
Analisis gender & transformasi sosial;26521;1;Jarang dipinjam
Pengantar kajian sastra;1650,2;2;Jarang dipinjam
Pendidikan karakter menjawab tantangan krisis multidimensional;37565;1;Jarang dipinjam
Dasar konsep pendidikan moral;19829;1;Jarang dipinjam
Belajar & pembelajaran;19109;2;Jarang dipinjam
Belajar dan Pembelajaran;36702;2;Jarang dipinjam
Interaksi & motivasi belajar mengajar;564APBN3.5;1;Jarang dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42639;8;Sering dipinjam
UUD 1945 Hasil Amandemen & Proses Amandemen UUD 1945 Secara Lengkap;15.261.2;1;Jarang dipinjam
Merawat tenun kebangsaan;39883;1;Jarang dipinjam
Bungkam suara sebuah novel;49901;4;Sering dipinjam
Akuntansi manajemen jil.1;269,1;5;Sering dipinjam
Moga bunda disayang allah;49979;3;Sering dipinjam
Pukat;19973;2;Jarang dipinjam
Metodologi penelitian sosial;17127;1;Jarang dipinjam
Metode penelitian survei;33723;1;Jarang dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49434;1;Jarang dipinjam
Citra dan Peran Perempuan Adonara : Pendekatan Psycho-feminism;44702;1;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48191;7;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000013;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28380;5;Sering dipinjam
Sosiologi gender;48217;2;Jarang dipinjam
SOSIOLOGI KELUARGA;29420;2;Jarang dipinjam
Sosiologi gender;49962;1;Jarang dipinjam
Metode & teknik menyusun proposal penelitian;19060;2;Jarang dipinjam
Hak Atas Kekayaan Intelektual;29272;1;Jarang dipinjam
PENGANTAR HUKUM PERUSAHAAN;24995;1;Jarang dipinjam
Undang-undang perseroan terbatas 2007 dan penjelasannya;526,1;1;Jarang dipinjam
Undang-undang haki : hak atas kekayaan intelektual;U279;2;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;49710;5;Sering dipinjam
Hukum acara perdata dengan pemahaman hukum materiil;2037,1;1;Jarang dipinjam
Sertifikat hak atas tanah;S207;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;13.057.019;6;Sering dipinjam
Politik hukum agraria;42798;1;Jarang dipinjam
AKUNTANSI MANAJEMEN EDISI 4 JILID 2;270,11;5;Sering dipinjam
Metodolgi penelitian kualitatif;23404;2;Jarang dipinjam
Metode penelitian kualitatif;38093;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;31179;8;Sering dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;23126;5;Sering dipinjam
Metode Penelitian Kualitatif Untuk Bisnis;U00300333;1;Jarang dipinjam
Pengantar manajemen (3 in 1 ) untuk mahasiswa dan umum;48290;1;Jarang dipinjam
Principles of economics pengantar ekonomi makro;24179;3;Sering dipinjam
Principles of economics pengantar ekonomi makro;24269;5;Sering dipinjam
Principles of economics pengantar ekonomi makro;24180;6;Sering dipinjam
Pulang pergi;49776;4;Sering dipinjam
AKUNTANSI MANAJEMEN;39881;4;Sering dipinjam
"UUD 1945 & PERUBAHANNYA KABINET INDONESIA BERSATU II""";21622;2;Jarang dipinjam
Akuntansi Manajemen;44445;2;Jarang dipinjam
Metodologi penelitian kualitatif;34531;1;Jarang dipinjam
Linguistik Disruptif : Pendekatan Kekinian Memahami Perkembangan Bahasa;46699;1;Jarang dipinjam
Linguistik umum;31361;1;Jarang dipinjam
Pengantar kewirausahaan untuk mahasiswa, wirausahawan, dan kalangan umum;49476;2;Jarang dipinjam
Kewirausahaan : Membentuk Mindset Mahasiswa Dengan Pendekatan Teori, Kasus dan Pendekatan Praktek;47361;1;Jarang dipinjam
Kewirausahaan dan manajemen usaha kecil;22548;1;Jarang dipinjam
English Skills Booster Grammar Tenses Vocabulary Conversation : Modul Komplet Untuk Latihan Autodidak Bahasa Inggris;45404;5;Sering dipinjam
Cara mudah belajar basic english grammar;41693;2;Jarang dipinjam
Cara mudah kuasai grammar;35396;3;Sering dipinjam
Manajemen pemasaran teori dan implementasi;2430,1;2;Jarang dipinjam
Prinsip-prinsip pemasaran ed.12 jil 1;252,0011;1;Jarang dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248,5;4;Sering dipinjam
Penelitian pendidikan;37496;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33973;4;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28555;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;28556;3;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33975;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410006;5;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42082;3;Sering dipinjam
Makroekonomi;304PB3.4;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410002;5;Sering dipinjam
EKONOMI MAKRO;21384;4;Sering dipinjam
Etika bisnis bagi pelaku bisnis;42080;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );41749;4;Sering dipinjam
Teori ekonomi makro suatu pengantar;28144;7;Sering dipinjam
Pengantar ekonomi makro edisi 7;45477;6;Sering dipinjam
Ekonomi makro;49195;4;Sering dipinjam
PENGANTAR EKONOMI MAKRO;17467;4;Sering dipinjam
Teori ekonomi makro suatu pengantar;28146;7;Sering dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
Makro ekonomi : aplikasi untuk indonesia;47592;6;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.2;5;Sering dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
pengantar ilmu ekonomi makro;221,11;4;Sering dipinjam
Ekonomika Makro Edisi Revis;U0000145;6;Sering dipinjam
Principles of economics pengantar ekonomi makro;311PB3.2;3;Sering dipinjam
Senjata hebat para introver hal-hal yang dianggap;50709;4;Sering dipinjam
Teori ekonomi makro suatu pengantar;28140;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
KIMIA HIDROKARBON;38142;1;Jarang dipinjam
Broken Throne;44130;1;Jarang dipinjam
Pengantar etika bisnis;50632;2;Jarang dipinjam
ETIKA BISNIS EDISI 5;33484;3;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28378;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18974;7;Sering dipinjam
Pendidikan karakter dalam sastra indonesia;48515;4;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248,3;5;Sering dipinjam
Teori Akuntansi;40762;3;Sering dipinjam
Akuntansi perpajakan ed.2;32064;7;Sering dipinjam
Mahika;49920;8;Sering dipinjam
Si anak savana;49833;5;Sering dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27220;7;Sering dipinjam
Akuntansi manajemen pendekatan studi kasus;49103;5;Sering dipinjam
Filsafat Politik dan Kotak Pandora Abad ke-21 Edisi 2;48251;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30909;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
Memahami penelitian kualitatif;33577;3;Sering dipinjam
Metodologi penelitian kualitatif membantu peneliti dan mahasiswa;49433;2;Jarang dipinjam
METODOLOGI PENELITIAN KUALITATIF;48190;5;Sering dipinjam
Metode penelitian kuantitatif dan kualitatif teori, penerapan dan riset nyata;49669;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000011;5;Sering dipinjam
Penelitian pendidikan;49113;2;Jarang dipinjam
Pengantar Hukum Perdata Tertulis (BW);15.226.1;1;Jarang dipinjam
KONSEP HUKUM PERDATA;15.191.2;2;Jarang dipinjam
PERKEMBANGAN HUKUM JAMINAN DI INDONESIA;15.114.1;1;Jarang dipinjam
Hukum Kebendaan;15.294.2;1;Jarang dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000012;6;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;780PB3.1;3;Sering dipinjam
Santri pilihan bunda;50813;4;Sering dipinjam
sintaksis bahasa indonesia ( pendekatan proses );728,1;1;Jarang dipinjam
PENGANTAR LINGUISTIK UMUM;1180.3.1;1;Jarang dipinjam
Morfologi;19695;2;Jarang dipinjam
Phrases, clauses and sentencess;37473;1;Jarang dipinjam
